,Customer_ID,Gender,Age,Married, Dependents,City,Zip_Code,Referrals,Tenure,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium Tech Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
27,0040-HALCW,Male,42,Yes,3,Modesto,95358,3,54,None,Yes,19,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20,1090,0,0,1063,2154,Stayed,Not Applicable,Not Applicable
28,0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,0,26,Offer C,Yes,37,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19,471,21,0,980,1430,Stayed,Not Applicable,Not Applicable
29,0042-RLHYP,Female,47,Yes,3,Eureka,95503,5,69,None,Yes,38,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19,1396,0,0,2648,4045,Stayed,Not Applicable,Not Applicable
30,0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,1,37,Offer C,Yes,43,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91,3247,0,0,1591,4838,Stayed,Not Applicable,Not Applicable
31,0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,5,49,Offer B,Yes,49,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20,900,0,0,2429,3330,Stayed,Not Applicable,Not Applicable
32,0052-DCKON,Male,28,Yes,0,Los Angeles,90063,9,66,None,Yes,43,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942,0,0,2888,10830,Stayed,Not Applicable,Not Applicable
33,0052-YNYOT,Female,28,No,0,Calexico,92231,0,67,None,Yes,23,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20,1343,30,0,1549,2861,Stayed,Not Applicable,Not Applicable
34,0056-EPFBG,Male,33,Yes,1,Redding,96003,4,20,None,No,0,No,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39,825,0,0,0,825,Stayed,Not Applicable,Not Applicable
35,0057-QBUQH,Female,31,No,3,San Martin,95046,0,43,None,Yes,30,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25,1070,0,0,1317,2387,Stayed,Not Applicable,Not Applicable
36,0058-EVZWM,Female,37,Yes,0,Stockton,95209,2,55,Offer B,Yes,5,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89,4959,0,0,279,5239,Stayed,Not Applicable,Not Applicable
37,0060-FUALY,Female,60,Yes,0,Los Angeles,90003,4,59,Offer B,Yes,16,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94,5597,0,0,967,6564,Stayed,Not Applicable,Not Applicable
38,0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,3,12,None,Yes,19,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20,224,0,0,231,455,Stayed,Not Applicable,Not Applicable
39,0064-YIJGF,Male,60,Yes,3,Yermo,92398,7,27,Offer C,Yes,25,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75,1929,0,0,682,2611,Stayed,Not Applicable,Not Applicable
40,0067-DKWBL,Male,69,No,0,San Diego,92129,0,2,None,Yes,43,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49,91,0,0,87,179,Churned,Competitor,Competitor made better offer
41,0068-FIGTF,Female,20,No,0,Fremont,94539,0,27,Offer C,Yes,48,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78,2078,0,0,1320,3399,Stayed,Not Applicable,Not Applicable
42,0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,1,25,None,Yes,23,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25,630,44,0,592,1178,Stayed,Not Applicable,Not Applicable
43,0074-HDKDG,Male,46,Yes,0,San Jose,95126,5,25,None,Yes,6,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61,1611,44,0,161,1727,Stayed,Not Applicable,Not Applicable
44,0076-LVEPS,Male,57,No,1,Tujunga,91042,0,29,None,No,0,No,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242,12,0,0,1230,Stayed,Not Applicable,Not Applicable
45,0078-XZMHT,Male,19,Yes,0,Visalia,93291,5,72,None,Yes,32,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85,6316,0,0,2329,8646,Stayed,Not Applicable,Not Applicable
46,0080-EMYVY,Female,64,No,0,Lodi,95240,0,14,None,Yes,24,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51,727,0,0,336,1064,Stayed,Not Applicable,Not Applicable
47,0080-OROZO,Female,38,No,0,El Portal,95318,0,35,Offer C,Yes,36,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99,3532,0,0,1274,4806,Stayed,Not Applicable,Not Applicable
48,0082-LDZUE,Male,54,No,0,Calistoga,94515,0,1,Offer E,Yes,42,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44,44,0,0,42,87,Joined,Not Applicable,Not Applicable
49,0082-OQIQY,Male,50,No,0,Farmington,95230,0,29,None,Yes,2,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94,2607,0,20,59,2687,Stayed,Not Applicable,Not Applicable
50,0083-PIVIK,Male,25,No,0,Tulelake,96134,0,64,None,Yes,5,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81,5567,0,40,351,5958,Stayed,Not Applicable,Not Applicable
51,0089-IIQKO,Female,35,Yes,3,Coleville,96107,1,39,None,Yes,24,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99,3767,0,0,950,4718,Stayed,Not Applicable,Not Applicable
52,0093-EXYQL,Female,72,No,0,Ojai,93023,0,40,None,Yes,44,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91,3673,0,0,1765,5439,Stayed,Not Applicable,Not Applicable
53,0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,0,40,None,Yes,37,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104,4036,0,0,1507,5544,Churned,Competitor,Competitor had better devices
54,0094-OIFMO,Female,78,No,1,North Hollywood,91605,0,11,Offer D,Yes,11,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120,0,120,127,1367,Churned,Dissatisfaction,Product dissatisfaction
55,0096-BXERS,Female,30,Yes,0,Inverness,94937,10,6,Offer E,Yes,42,Yes,Yes,Cable,85,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50,314,0,0,255,570,Stayed,Not Applicable,Not Applicable
56,0096-FCPUF,Male,58,No,0,Santa Rosa,95404,0,30,None,Yes,2,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64,1888,0,0,79,1967,Stayed,Not Applicable,Not Applicable
57,0098-BOWSO,Male,26,No,0,San Jose,95131,0,27,None,Yes,20,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19,529,0,0,557,1087,Stayed,Not Applicable,Not Applicable
58,0100-DUVFC,Male,66,Yes,0,Wilmington,90744,3,70,None,Yes,39,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104,7308,6,0,2764,10067,Stayed,Not Applicable,Not Applicable
59,0103-CSITQ,Female,20,Yes,0,Modesto,95357,10,57,Offer B,Yes,8,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109,6252,0,0,456,6709,Stayed,Not Applicable,Not Applicable
60,0104-PPXDV,Male,61,Yes,0,San Diego,92113,10,58,None,Yes,18,No,Yes,DSL,18,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50,2878,10,0,1065,3933,Stayed,Not Applicable,Not Applicable
61,0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,0,16,None,Yes,25,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71,1212,0,0,411,1623,Stayed,Not Applicable,Not Applicable
62,0106-UGRDO,Female,55,Yes,0,Kenwood,95452,3,69,Offer A,Yes,38,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8182,0,0,2657,10840,Stayed,Not Applicable,Not Applicable
63,0107-WESLM,Male,32,No,0,West Point,95255,0,1,Offer E,Yes,31,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19,19,0,0,31,51,Churned,Attitude,Attitude of support person
64,0107-YHINA,Male,59,No,0,Los Angeles,90062,0,1,None,Yes,40,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99,99,0,0,40,140,Churned,Competitor,Competitor had better devices
65,0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256,9,32,Offer C,Yes,31,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93,2861,0,0,1019,3880,Stayed,Not Applicable,Not Applicable
66,0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,8,16,Offer D,Yes,48,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90,1442,0,0,779,2221,Stayed,Not Applicable,Not Applicable
67,0112-QWPNC,Male,61,Yes,0,Valyermo,93563,1,49,Offer B,Yes,39,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84,4059,0,0,1937,5997,Churned,Competitor,Competitor offered higher download speeds
68,0114-IGABW,Female,40,Yes,0,Cambria,93428,2,71,Offer A,No,0,No,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58,4145,0,0,0,4145,Stayed,Not Applicable,Not Applicable
69,0114-PEGZZ,Female,39,No,0,Round Mountain,96084,0,33,None,Yes,49,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107,3645,0,0,1639,5285,Stayed,Not Applicable,Not Applicable
70,0114-RSRRW,Female,21,Yes,0,Klamath,95548,9,10,Offer D,Yes,49,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19,187,0,0,496,683,Stayed,Not Applicable,Not Applicable
71,0115-TFERT,Male,24,Yes,0,Fresno,93650,1,21,None,Yes,36,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111,2317,0,120,761,3198,Churned,Attitude,Attitude of service provider
72,0117-LFRMW,Male,52,Yes,1,Angwin,94508,1,37,None,No,0,No,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40,1448,0,0,0,1448,Churned,Competitor,Competitor offered more data
73,0118-JPNOY,Female,71,No,0,Le Grand,95333,0,26,None,Yes,33,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85,2193,0,0,877,3070,Stayed,Not Applicable,Not Applicable
74,0121-SNYRK,Male,45,No,0,Redway,95560,0,50,Offer B,No,0,No,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35,1748,0,0,0,1748,Stayed,Not Applicable,Not Applicable
75,0122-OAHPZ,Female,29,No,0,San Diego,92122,0,7,None,Yes,28,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73,511,13,0,200,698,Churned,Competitor,Competitor made better offer
76,0123-CRBRT,Female,62,Yes,0,Monterey Park,91755,1,61,Offer B,Yes,47,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88,5526,0,0,2878,8405,Stayed,Not Applicable,Not Applicable
77,0125-LZQXK,Male,42,No,0,Big Oak Flat,95305,0,15,Offer D,Yes,45,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101,1553,0,0,688,2242,Churned,Attitude,Attitude of service provider
78,0128-MKWSG,Female,51,No,2,Stevenson Ranch,91381,0,26,None,No,0,No,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45,1147,0,0,0,1147,Stayed,Not Applicable,Not Applicable
79,0129-KPTWJ,Male,39,Yes,0,North Highlands,95660,9,72,None,Yes,33,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94,6747,0,0,2391,9139,Stayed,Not Applicable,Not Applicable
80,0129-QMPDR,Male,64,Yes,0,La Puente,91746,1,44,None,Yes,27,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20,865,0,0,1205,2070,Stayed,Not Applicable,Not Applicable
81,0130-SXOUN,Male,55,No,0,Glenhaven,95443,0,66,Offer A,Yes,48,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89,5976,36,40,3219,9200,Stayed,Not Applicable,Not Applicable
82,0133-BMFZO,Female,40,No,0,Alhambra,91803,0,2,None,Yes,36,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86,181,0,0,73,255,Churned,Competitor,Competitor offered higher download speeds
83,0134-XWXCE,Female,76,No,0,Santa Monica,90403,0,44,None,Yes,7,No,Yes,DSL,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74,3268,17,0,339,3589,Stayed,Not Applicable,Not Applicable
84,0135-NMXAP,Female,57,No,0,Lodi,95240,0,12,Offer D,Yes,14,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89,1052,0,0,172,1224,Churned,Attitude,Attitude of support person
85,0136-IFMYD,Male,71,Yes,0,Los Angeles,90001,1,69,None,Yes,18,Yes,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109,7634,0,0,1270,8904,Stayed,Not Applicable,Not Applicable
86,0137-OCGAB,Female,25,No,0,Fairfield,94533,0,1,Offer E,Yes,1,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80,80,0,0,1,81,Churned,Price,Lack of affordable download/upload speed
87,0137-UDEUO,Female,24,No,0,Stockton,95204,0,3,Offer E,Yes,25,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19,63,0,0,77,141,Churned,Price,Long distance charges
88,0139-IVFJG,Female,19,Yes,0,Temecula,92592,10,2,None,Yes,4,No,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90,190,0,0,9,199,Joined,Not Applicable,Not Applicable
89,0141-YEAYS,Female,77,No,0,Fallbrook,92028,0,27,None,Yes,2,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86,2401,0,0,80,2481,Stayed,Not Applicable,Not Applicable
90,0142-GVYSN,Male,57,No,0,Randsburg,93554,0,26,Offer C,Yes,13,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20,511,0,0,346,858,Stayed,Not Applicable,Not Applicable
91,0147-ESWWR,Female,73,Yes,0,Atascadero,93422,9,39,None,Yes,20,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101,3949,0,0,785,4735,Stayed,Not Applicable,Not Applicable
92,0148-DCDOS,Male,41,No,0,Planada,95365,0,25,None,Yes,34,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94,2362,0,0,872,3234,Churned,Competitor,Competitor had better devices
93,0151-ONTOV,Female,43,No,0,Moorpark,93021,0,1,Offer E,Yes,39,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70,70,0,0,39,110,Churned,Competitor,Competitor had better devices
94,0156-FVPTA,Male,48,Yes,0,Solvang,93463,1,22,Offer D,Yes,27,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54,1152,0,0,599,1751,Churned,Attitude,Attitude of service provider
95,0164-APGRB,Female,56,No,0,Calistoga,94515,0,72,Offer A,Yes,48,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114,8496,0,0,3482,11979,Stayed,Not Applicable,Not Applicable
96,0164-XAIRP,Female,51,No,0,La Mirada,90638,0,24,None,Yes,10,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,19,470,0,0,255,725,Stayed,Not Applicable,Not Applicable
97,0168-XZKBB,Female,34,Yes,0,Boron,93516,8,19,None,Yes,7,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86,1564,0,0,148,1713,Stayed,Not Applicable,Not Applicable
98,0174-QRVVY,Male,21,Yes,2,San Marcos,92078,2,71,None,Yes,9,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25,1847,0,0,653,2500,Stayed,Not Applicable,Not Applicable
99,0177-PXBAT,Male,78,Yes,0,Desert Center,92239,7,33,None,Yes,25,Yes,Yes,Fiber Optic,20,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109,3694,0,0,829,4524,Stayed,Not Applicable,Not Applicable
100,0178-CIIKR,Female,60,No,0,Crows Landing,95313,0,3,None,Yes,2,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19,58,0,0,8,66,Joined,Not Applicable,Not Applicable
101,0178-SZBHO,Male,54,Yes,1,Tuolumne,95379,7,47,None,Yes,1,Yes,Yes,Fiber Optic,13,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87,4017,0,0,51,4068,Stayed,Not Applicable,Not Applicable
